words,frequency,relative_frequency,type
basin,94,0.018717642373556352,others
rhubarb,93,0.018518518518518517,others
pound,93,0.018518518518518517,others
cross,92,0.018319394663480686,others
split,92,0.018319394663480686,others
meatball,92,0.018319394663480686,others
cranberry,92,0.018319394663480686,others
cutter,92,0.018319394663480686,others
hard,92,0.018319394663480686,others
garam,91,0.01812027080844285,others
lower,91,0.01812027080844285,others
weigh,91,0.01812027080844285,others
blueberry,91,0.01812027080844285,others
halloumi,91,0.01812027080844285,others
mm,91,0.01812027080844285,others
shred,91,0.01812027080844285,others
pack,90,0.017921146953405017,others
saffron,90,0.017921146953405017,others
liquor,90,0.017921146953405017,others
border,89,0.017722023098367186,others
corn,89,0.017722023098367186,ingredients
cayenne,89,0.017722023098367186,others
hazelnut,89,0.017722023098367186,others
ghee,89,0.017722023098367186,others
flame,89,0.017722023098367186,others
sweat,88,0.01752289924332935,others
damp,88,0.01752289924332935,others
2.5cm/1,88,0.01752289924332935,others
25cm/10,87,0.017323775388291517,others
speed,87,0.017323775388291517,others
briefly,87,0.017323775388291517,others
kale,87,0.017323775388291517,ingredients
mango,87,0.017323775388291517,others
celeriac,87,0.017323775388291517,others
string,87,0.017323775388291517,others
